no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;persentase_tingkat_pengangguran_terbuka;persentase;satuan;tahun
310;32;JAWA BARAT;3273;KOTA BANDUNG;1119;11,19;PERSEN;2020
311;32;JAWA BARAT;3274;KOTA CIREBON;1097;10,97;PERSEN;2020
312;32;JAWA BARAT;3275;KOTA BEKASI;1068;10,68;PERSEN;2020
313;32;JAWA BARAT;3276;KOTA DEPOK;987;9,87;PERSEN;2020
314;32;JAWA BARAT;3277;KOTA CIMAHI;133;1,33;PERSEN;2020
315;32;JAWA BARAT;3278;KOTA TASIKMALAYA;799;7,99;PERSEN;2020
316;32;JAWA BARAT;3279;KOTA BANJAR;673;6,73;PERSEN;2020
317;32;JAWA BARAT;3201;KABUPATEN BOGOR;1222;12,22;PERSEN;2021
318;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;951;9,51;PERSEN;2021
319;32;JAWA BARAT;3203;KABUPATEN CIANJUR;932;9,32;PERSEN;2021
320;32;JAWA BARAT;3204;KABUPATEN BANDUNG;832;8,32;PERSEN;2021
321;32;JAWA BARAT;3205;KABUPATEN GARUT;868;8,68;PERSEN;2021
322;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;616;6,16;PERSEN;2021
323;32;JAWA BARAT;3207;KABUPATEN CIAMIS;506;5,06;PERSEN;2021
324;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1168;11,68;PERSEN;2021
325;32;JAWA BARAT;3209;KABUPATEN CIREBON;1038;10,38;PERSEN;2021
326;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;571;5,71;PERSEN;2021
327;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;918;9,18;PERSEN;2021
328;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;83;0,83;PERSEN;2021
329;32;JAWA BARAT;3213;KABUPATEN SUBANG;977;9,77;PERSEN;2021
330;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;107;1,07;PERSEN;2021
331;32;JAWA BARAT;3215;KABUPATEN KARAWANG;1183;11,83;PERSEN;2021
332;32;JAWA BARAT;3216;KABUPATEN BEKASI;1009;10,09;PERSEN;2021
333;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1165;11,65;PERSEN;2021
334;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;325;3,25;PERSEN;2021
335;32;JAWA BARAT;3271;KOTA BOGOR;1179;11,79;PERSEN;2021
336;32;JAWA BARAT;3272;KOTA SUKABUMI;1078;10,78;PERSEN;2021
337;32;JAWA BARAT;3273;KOTA BANDUNG;1146;11,46;PERSEN;2021
338;32;JAWA BARAT;3274;KOTA CIREBON;1053;10,53;PERSEN;2021
339;32;JAWA BARAT;3275;KOTA BEKASI;1088;10,88;PERSEN;2021
340;32;JAWA BARAT;3276;KOTA DEPOK;976;9,76;PERSEN;2021
341;32;JAWA BARAT;3277;KOTA CIMAHI;1307;13,07;PERSEN;2021
342;32;JAWA BARAT;3278;KOTA TASIKMALAYA;766;7,66;PERSEN;2021
343;32;JAWA BARAT;3279;KOTA BANJAR;609;6,09;PERSEN;2021
344;32;JAWA BARAT;3201;KABUPATEN BOGOR;1064;10,64;PERSEN;2022
345;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;777;7,77;PERSEN;2022
346;32;JAWA BARAT;3203;KABUPATEN CIANJUR;841;8,41;PERSEN;2022
347;32;JAWA BARAT;3204;KABUPATEN BANDUNG;698;6,98;PERSEN;2022
348;32;JAWA BARAT;3205;KABUPATEN GARUT;76;0,76;PERSEN;2022
349;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;417;4,17;PERSEN;2022
350;32;JAWA BARAT;3207;KABUPATEN CIAMIS;375;3,75;PERSEN;2022
351;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;981;9,81;PERSEN;2022
352;32;JAWA BARAT;3209;KABUPATEN CIREBON;811;8,11;PERSEN;2022
353;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;416;4,16;PERSEN;2022
354;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;772;7,72;PERSEN;2022
355;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;649;6,49;PERSEN;2022
356;32;JAWA BARAT;3213;KABUPATEN SUBANG;777;7,77;PERSEN;2022
357;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;875;8,75;PERSEN;2022
358;32;JAWA BARAT;3215;KABUPATEN KARAWANG;987;9,87;PERSEN;2022
359;32;JAWA BARAT;3216;KABUPATEN BEKASI;1031;10,31;PERSEN;2022
360;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;963;9,63;PERSEN;2022
361;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;156;1,56;PERSEN;2022
362;32;JAWA BARAT;3271;KOTA BOGOR;1078;10,78;PERSEN;2022
363;32;JAWA BARAT;3272;KOTA SUKABUMI;883;8,83;PERSEN;2022
364;32;JAWA BARAT;3273;KOTA BANDUNG;955;9,55;PERSEN;2022
365;32;JAWA BARAT;3274;KOTA CIREBON;842;8,42;PERSEN;2022
366;32;JAWA BARAT;3275;KOTA BEKASI;881;8,81;PERSEN;2022
367;32;JAWA BARAT;3276;KOTA DEPOK;782;7,82;PERSEN;2022
368;32;JAWA BARAT;3277;KOTA CIMAHI;1077;10,77;PERSEN;2022
369;32;JAWA BARAT;3278;KOTA TASIKMALAYA;662;6,62;PERSEN;2022
